,count,missing_rate,skewness,kurtosis,zero_rate,unique_rate
alpaca_prev_close,1431.0,0.0,16.879276394357415,432.64296435157274,0.004891684136967156,0.9343116701607268
close_price,1431.0,0.0,16.662044196919148,425.5901377286481,0.0,0.9468902865129281
earnings_time,1431.0,0.0,-0.2409712244484905,-1.944652719753897,0.44025157232704404,0.001397624039133473
high_before_low,1431.0,0.0,-0.15012299491355033,-1.9802326645991164,0.46261355695317957,0.001397624039133473
high_price,1431.0,0.0,16.275106063869345,409.61433389006345,0.0,0.9531795946890287
low_price,1431.0,0.0,16.68104230120413,425.96363957365736,0.0,0.9643605870020965
market_cap,1431.0,0.0,16.71896177089012,307.6776704249508,0.0,1.0
open_price,1431.0,0.0,16.10094017319668,400.7969306197349,0.0,0.9378057302585604
opening_minute_volume,1431.0,0.0,8.385132750475723,94.24229103189622,0.0,0.9720475192173306
pct_15min,1431.0,0.0,0.03193611688473247,4.830244554544532,0.005590496156533892,0.989517819706499
pct_1hr,1431.0,0.0,0.07947873767332483,4.710329191816049,0.004891684136967156,0.9902166317260657
pct_1min,1431.0,0.0,-0.4112520855732159,5.773273979077963,0.13417190775681342,0.8665269042627534
pct_30min,1431.0,0.0,0.729990999879711,12.015487431221395,0.008385744234800839,0.9860237596086653
pct_5min,1431.0,0.0,-0.3918842578387271,2.1478517796468037,0.007686932215234102,0.9860237596086653
pct_change_close,1431.0,0.0,0.5989888848605194,2.4248526299544886,0.005590496156533892,0.9853249475890985
pct_change_high,1431.0,0.0,1.8024779331560956,3.8616101609159226,0.09294199860237597,0.9021663172606569
pct_change_low,1431.0,0.0,-1.7320459939943258,3.461247168496142,0.050314465408805034,0.9489867225716282
pct_change_open,1431.0,0.0,1.079253553921805,8.192969489672015,0.013976240391334731,0.986722571628232
premarket_high,1431.0,0.0,18.291606247980354,502.0232719762656,0.0,0.7030048916841369
premarket_low,1431.0,0.0,19.074641485327707,534.488587522637,0.0,0.7155835080363382
