,next_session_return,intraday_return_1min,intraday_return_5min,intraday_return_15min,intraday_return_30min
next_session_return,1.0,,,,
pct_1hr,0.8535679885272941,0.375439332144114,0.6803192719874648,0.8441170981319256,0.9166866587045547
pct_change_low,0.7720772112923513,0.3715370257081431,0.6459418419013802,0.7129501710726925,0.741152905164174
pct_30min,0.767786786543054,0.39575390769733043,0.7089742603033293,0.9049977396563227,1.0000000000000016
pct_15min,0.7185030586753394,0.4258825802039122,0.7874551041147455,1.0,0.9049977396563218
close_position,0.7137294247112863,0.09091103586834787,0.22687484145113426,0.2839931527331991,0.3296955540822736
pct_change_high,0.6892670126556695,0.3819735110204529,0.5907841423256599,0.6558299587366445,0.6662590545080195
sort_key,0.6712442916747796,0.3439055004751528,0.5333294155737145,0.6634408960216474,0.702066924285483
high_before_low,0.6539076324312557,0.13004871892333522,0.34808085908625375,0.46013761580357926,0.5170891050281208
high_before_low_flag,0.6539076324312557,0.13004871892333522,0.34808085908625375,0.46013761580357926,0.5170891050281208
pct_change_close_rolling_mean,0.6526060403669239,0.18342979199031104,0.40576452120655937,0.4391715376088403,0.4733476522651589
pct_change_close,0.6526060403669239,0.18342979199031104,0.40576452120655937,0.4391715376088403,0.4733476522651589
full_day_return,0.6526060403669222,0.1834297919903106,0.405764521206558,0.4391715376088387,0.4733476522651574
pct_5min,0.5995940048420764,0.5788162339085491,0.9999999999999998,0.7874551041147461,0.7089742603033291
direction_consistency,0.597836843211281,0.48028661490304314,0.7029973130735165,0.7221140069757948,0.698648199699111
pct_1min,0.32396194100194287,0.9999999999999992,0.5788162339085492,0.4258825802039126,0.39575390769733054
high_low_ratio,0.20559373958758975,0.07409176308788357,0.18394426141313872,0.15354719197265823,0.15487691426881176
early_momentum,0.18722385085249674,0.001689453102122727,0.307563560797038,0.2273313749558517,0.2002152208884333
market_return,0.10275769633678705,0.004026227008754401,0.01560347206390822,0.024717639031973625,0.02269541460659448
bear_regime,0.09116049501971335,0.035083457169418936,0.03794447593673082,0.05101538117225618,0.03786198936196267
volume_7d_log,0.07558980234893481,0.04648091218554155,0.02535874650821374,0.05346058196531771,0.05438770064331738
high_vol_day,0.07468547085462007,0.014543309450998855,0.08456466264666129,0.08314297607134338,0.09232015104078985
volume_30d_log,0.07344910797518436,0.03626647831974717,0.018406029091935304,0.03459367068194166,0.03778152027240811
surprise_mismatch,0.07309582309758783,0.020355522971566946,0.0586222687671158,0.07309732081911838,0.06885239779056673
revenue_surprise,0.06839620537881888,0.024832750211243603,0.044701813510884064,0.04211077448120241,0.05312121917109144
gap_up,0.06803831377971178,0.036508637794066136,0.07098969855250413,0.024107183475548816,0.021838780095849993
opening_volume_log,0.06750539294717826,0.08119808030116099,0.046763272012927765,0.0400044232450264,0.05126563245973643
gap_down,0.06706076600294597,0.011134411497195882,0.07735500747651956,0.03453840807130938,0.036334766038626884
bull_regime,0.06406028264317211,0.01251085716690444,0.04206105508963546,0.04904420958658642,0.035801904155217106
high_vol_regime,0.06315563055560837,0.014246465839113162,0.07480003361673708,0.0849351162802192,0.0849895782325836
surprise_x_earnings_time,0.05978743052088467,0.024106473239225885,0.08912210833500851,0.08485819432447105,0.06959158161542764
revenue_surprise_abs,0.057088344811928836,0.007757241344263595,0.020352854789267242,0.021811402518018434,0.026612533329382602
risk_adjusted_return,0.05610277045842416,0.008325473960916673,0.008664804297634427,0.009120153381911546,0.009302408594445038
intraday_range,0.055709793402479384,0.0014326055907470502,0.09778493642696073,0.04463039739703417,0.02622767697778579
